key,collections_count,namespaces_count,collections,namespaces
"picture","1","1","app.rocksky.artist","app.rocksky.artist"
"joinedAt","3","3","app.raddle.communityMember;app.gather.groupMembership;app.atsocial.group.membership","app.raddle.communityMember;app.gather.groupMembership;app.atsocial.group"
"member","2","2","app.raddle.communityMember;app.gather.groupMembership","app.raddle.communityMember;app.gather.groupMembership"
"membersCount","1","1","app.raddle.community","app.raddle.community"
"moderators","1","1","app.raddle.community","app.raddle.community"
"postsCount","1","1","app.raddle.community","app.raddle.community"
"rules","2","2","app.raddle.community;app.atsocial.group","app.raddle.community;app.atsocial.group"
"releaseYear","1","1","app.popfeed.note","app.popfeed.note"
"extra","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"launchAsset","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"launchAssetBlob","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"runtimeVersion","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"expoClient","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"expoGo","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"android","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"androidStatusBar","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"experiments","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"ios","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"newArchEnabled","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"platforms","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"plugins","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"scheme","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"sdkVersion","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"userInterfaceStyle","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"web","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"developer","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"adaptiveIcon","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"edgeToEdgeEnabled","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"backgroundColor","2","2","app.ocho.plugin.manifest;app.basker.settings","app.ocho.plugin;app.basker.settings"
"typedRoutes","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"router","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"supportsTablet","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"bundler","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"output","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"tool","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"foregroundImage","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"imageWidth","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"resizeMode","1","1","app.ocho.plugin.manifest","app.ocho.plugin"
"episode_text","1","1","app.netlify.aniblue.status","app.netlify.aniblue"
"favorite","1","1","app.netlify.aniblue.status","app.netlify.aniblue"
"thumbnail","1","1","app.netlify.aniblue.status","app.netlify.aniblue"
"recipient","1","1","app.navyfragen.message","app.navyfragen.message"
"loved","1","1","app.musicscrobbler.scrobble","app.musicscrobbler.scrobble"
"scrobbledAt","1","1","app.musicscrobbler.scrobble","app.musicscrobbler.scrobble"
"installation","1","1","app.mcp.server","app.mcp.server"
"lastRegisteredAt","1","1","app.mcp.server","app.mcp.server"
"tools","1","1","app.mcp.server","app.mcp.server"
"verifiedDomain","1","1","app.mcp.server","app.mcp.server"
"inputSchema","1","1","app.mcp.server","app.mcp.server"
"settings","2","2","app.linkbio.settings;app.basker.settings","app.linkbio.settings;app.basker.settings"
"sectionOrder","2","2","app.linkbio.settings;app.basker.settings","app.linkbio.settings;app.basker.settings"
"daysToExpire","1","1","app.linkbio.profileNote","app.linkbio.profileNote"
"userId","1","1","app.linkbio.profileCustomization","app.linkbio.profileCustomization"
"widgetPreferences","1","1","app.linkbio.profileCustomization","app.linkbio.profileCustomization"
"isPublic","2","2","app.linkbio.notes;app.basker.settings","app.linkbio.notes;app.basker.settings"
